,GEO_ID,NAME,H016H001,H016H002,H016H003,H016H004,H016H005,H016H006,H016H007,H016H008,H016H009,H016H010,H016H011,H016H012,H016H013,H016H014,H016H015,H016H016,H016H017
0,id,Geographic Area Name,Total,Total!!Owner occupied,Total!!Owner occupied!!1-person household,Total!!Owner occupied!!2-person household,Total!!Owner occupied!!3-person household,Total!!Owner occupied!!4-person household,Total!!Owner occupied!!5-person household,Total!!Owner occupied!!6-person household,Total!!Owner occupied!!7-or-more-person household,Total!!Renter occupied,Total!!Renter occupied!!1-person household,Total!!Renter occupied!!2-person household,Total!!Renter occupied!!3-person household,Total!!Renter occupied!!4-person household,Total!!Renter occupied!!5-person household,Total!!Renter occupied!!6-person household,Total!!Renter occupied!!7-or-more-person household
124,8710000US3610519,"ZCTA5 10519, New York",10,5,0,1,3,0,1,0,0,5,1,0,3,0,1,0,0
125,8710000US3610520,"ZCTA5 10520, New York",382,158,15,35,32,45,22,5,4,224,52,50,49,33,25,9,6
126,8710000US3610522,"ZCTA5 10522, New York",282,93,15,25,15,26,8,3,1,189,42,53,31,30,24,5,4
127,8710000US3610523,"ZCTA5 10523, New York",550,240,9,38,44,61,34,22,32,310,34,48,55,64,48,26,35
128,8710000US3610524,"ZCTA5 10524, New York",86,66,6,23,5,24,5,0,3,20,2,6,6,4,2,0,0
129,8710000US3610526,"ZCTA5 10526, New York",28,17,1,3,4,4,3,2,0,11,2,1,4,2,0,2,0
130,8710000US3610527,"ZCTA5 10527, New York",7,7,1,1,1,2,0,1,1,0,0,0,0,0,0,0,0
131,8710000US3610528,"ZCTA5 10528, New York",349,83,17,20,16,19,7,2,2,266,34,50,63,84,25,8,2
132,8710000US3610530,"ZCTA5 10530, New York",439,327,95,96,55,49,18,7,7,112,21,38,22,13,6,5,7
133,8710000US3610532,"ZCTA5 10532, New York",91,50,1,12,13,13,5,4,2,41,5,17,3,6,8,1,1
134,8710000US3610533,"ZCTA5 10533, New York",131,82,9,17,21,24,8,2,1,49,7,21,9,5,6,1,0
135,8710000US3610535,"ZCTA5 10535, New York",33,11,0,3,2,4,0,1,1,22,6,3,4,5,1,2,1
136,8710000US3610536,"ZCTA5 10536, New York",142,67,4,15,12,21,9,3,3,75,6,20,17,15,9,5,3
137,8710000US3610537,"ZCTA5 10537, New York",113,82,10,22,17,23,7,2,1,31,5,6,7,9,2,2,0
138,8710000US3610538,"ZCTA5 10538, New York",343,167,30,38,28,37,26,6,2,176,42,54,28,31,13,4,4
139,8710000US3610541,"ZCTA5 10541, New York",626,395,20,83,86,111,55,24,16,231,33,47,55,43,29,16,8
140,8710000US3610543,"ZCTA5 10543, New York",1240,325,49,51,61,84,49,18,13,915,107,179,170,180,124,77,78
141,8710000US3610545,"ZCTA5 10545, New York",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,8710000US3610546,"ZCTA5 10546, New York",13,7,0,2,2,3,0,0,0,6,0,2,3,1,0,0,0
143,8710000US3610547,"ZCTA5 10547, New York",322,175,13,34,37,42,25,12,12,147,25,30,33,29,15,6,9
144,8710000US3610548,"ZCTA5 10548, New York",96,61,7,18,7,16,10,3,0,35,7,6,12,7,3,0,0
145,8710000US3610549,"ZCTA5 10549, New York",1013,187,25,43,34,44,17,11,13,826,77,108,165,164,145,84,83
146,8710000US3610550,"ZCTA5 10550, New York",1657,277,25,50,52,55,40,25,30,1380,263,273,272,249,182,72,69
147,8710000US3610552,"ZCTA5 10552, New York",1036,453,143,114,78,58,37,10,13,583,162,148,117,95,39,15,7
148,8710000US3610553,"ZCTA5 10553, New York",241,87,3,19,18,21,9,10,7,154,22,44,23,28,21,6,10
149,8710000US3610560,"ZCTA5 10560, New York",87,49,2,10,9,16,8,3,1,38,4,8,14,5,3,4,0
150,8710000US3610562,"ZCTA5 10562, New York",2716,843,81,135,132,181,133,82,99,1873,211,290,386,385,270,167,164
151,8710000US3610566,"ZCTA5 10566, New York",2294,769,79,155,163,136,95,57,84,1525,227,227,282,334,208,124,123
152,8710000US3610567,"ZCTA5 10567, New York",676,549,35,102,98,161,90,37,26,127,18,23,25,25,22,2,12
153,8710000US3610570,"ZCTA5 10570, New York",272,114,8,27,28,29,13,3,6,158,23,35,29,42,18,9,2
154,8710000US3610573,"ZCTA5 10573, New York",4444,1055,82,168,189,220,157,96,143,3389,343,514,617,702,511,318,384
155,8710000US3610576,"ZCTA5 10576, New York",53,35,4,9,6,10,3,3,0,18,2,6,3,5,1,0,1
156,8710000US3610577,"ZCTA5 10577, New York",22,17,1,1,3,4,5,2,1,5,1,1,1,0,1,1,0
157,8710000US3610578,"ZCTA5 10578, New York",14,5,1,1,1,1,1,0,0,9,1,3,2,1,1,0,1
158,8710000US3610579,"ZCTA5 10579, New York",187,140,14,29,34,31,17,8,7,47,11,12,13,2,6,1,2
159,8710000US3610580,"ZCTA5 10580, New York",283,130,9,30,23,28,28,9,3,153,39,27,25,35,20,6,1
160,8710000US3610583,"ZCTA5 10583, New York",530,354,57,83,78,76,43,10,7,176,43,53,24,29,15,7,5
161,8710000US3610588,"ZCTA5 10588, New York",76,43,5,7,8,11,3,3,6,33,11,8,5,3,3,2,1
162,8710000US3610589,"ZCTA5 10589, New York",81,72,16,22,14,14,5,1,0,9,3,1,2,3,0,0,0
163,8710000US3610590,"ZCTA5 10590, New York",101,83,12,23,14,19,11,3,1,18,3,8,3,1,2,0,1
164,8710000US3610591,"ZCTA5 10591, New York",2091,396,59,73,65,92,55,23,29,1695,240,347,357,343,202,110,96
165,8710000US3610594,"ZCTA5 10594, New York",106,39,5,4,7,14,7,2,0,67,11,19,9,10,10,4,4
166,8710000US3610595,"ZCTA5 10595, New York",128,66,9,16,9,19,11,1,1,62,13,12,14,13,8,1,1
167,8710000US3610596,"ZCTA5 10596, New York",64,24,1,6,5,5,4,1,2,40,5,9,12,7,3,1,3
168,8710000US3610597,"ZCTA5 10597, New York",8,6,1,3,0,2,0,0,0,2,0,0,0,2,0,0,0
169,8710000US3610598,"ZCTA5 10598, New York",574,452,33,103,105,122,61,20,8,122,28,23,34,22,9,3,3
170,8710000US3610601,"ZCTA5 10601, New York",998,187,70,58,22,10,11,8,8,811,204,186,159,123,69,34,36
171,8710000US3610603,"ZCTA5 10603, New York",1007,437,68,94,66,97,45,25,42,570,63,119,97,115,71,51,54
172,8710000US3610604,"ZCTA5 10604, New York",705,170,19,31,31,38,21,16,14,535,54,106,128,130,56,35,26
173,8710000US3610605,"ZCTA5 10605, New York",787,313,67,67,56,48,35,19,21,474,81,86,88,89,56,30,44
174,8710000US3610606,"ZCTA5 10606, New York",1893,449,62,71,59,90,55,48,64,1444,224,240,235,279,184,106,176
175,8710000US3610607,"ZCTA5 10607, New York",360,236,9,41,48,39,41,23,35,124,4,20,20,24,14,19,23
176,8710000US3610701,"ZCTA5 10701, New York",8028,1211,237,271,194,233,151,65,60,6817,1376,1295,1235,1183,857,452,419
177,8710000US3610703,"ZCTA5 10703, New York",1977,642,65,123,112,160,97,52,33,1335,228,265,254,262,181,87,58
178,8710000US3610704,"ZCTA5 10704, New York",2010,961,201,244,176,163,90,47,40,1049,234,276,226,184,84,29,16
179,8710000US3610705,"ZCTA5 10705, New York",6043,945,137,175,178,196,111,64,84,5098,1031,963,992,929,614,299,270
180,8710000US3610706,"ZCTA5 10706, New York",206,71,13,15,12,20,9,0,2,135,26,37,30,29,8,4,1
181,8710000US3610707,"ZCTA5 10707, New York",300,123,13,29,30,26,18,5,2,177,41,50,38,29,11,5,3
182,8710000US3610708,"ZCTA5 10708, New York",727,484,141,160,86,55,27,13,2,243,68,64,65,30,6,7,3
183,8710000US3610709,"ZCTA5 10709, New York",206,100,13,27,12,26,11,7,4,106,23,33,12,19,13,1,5
184,8710000US3610710,"ZCTA5 10710, New York",1514,1019,187,281,178,209,102,36,26,495,137,139,103,63,32,13,8
185,8710000US3610801,"ZCTA5 10801, New York",3817,872,75,123,137,199,148,86,104,2945,449,415,526,650,464,212,229
186,8710000US3610803,"ZCTA5 10803, New York",324,171,18,29,43,46,25,3,7,153,25,36,34,36,13,6,3
187,8710000US3610804,"ZCTA5 10804, New York",186,169,18,34,36,51,25,4,1,17,4,3,3,3,2,1,1
188,8710000US3610805,"ZCTA5 10805, New York",1669,427,99,104,60,76,43,20,25,1242,239,261,258,223,147,58,56
189,8710000US3610901,"ZCTA5 10901, New York",781,304,37,77,52,83,35,10,10,477,111,78,94,82,47,26,39
190,8710000US3610910,"ZCTA5 10910, New York",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
191,8710000US3610911,"ZCTA5 10911, New York",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
192,8710000US3610913,"ZCTA5 10913, New York",97,76,3,14,12,19,21,6,1,21,4,4,2,5,2,2,2
193,8710000US3610914,"ZCTA5 10914, New York",8,7,0,0,2,1,4,0,0,1,0,0,0,0,0,1,0
194,8710000US3610915,"ZCTA5 10915, New York",3,1,0,0,0,0,1,0,0,2,2,0,0,0,0,0,0
195,8710000US3610916,"ZCTA5 10916, New York",80,65,3,11,15,26,6,2,2,15,3,1,5,3,1,1,1
196,8710000US3610917,"ZCTA5 10917, New York",71,25,3,4,5,8,2,2,1,46,4,3,15,11,7,3,3
197,8710000US3610918,"ZCTA5 10918, New York",388,287,28,71,58,75,35,13,7,101,17,23,24,17,10,6,4
198,8710000US3610919,"ZCTA5 10919, New York",36,29,4,3,4,8,6,4,0,7,3,1,0,1,0,2,0
