,GEO_ID,NAME,H016D001,H016D002,H016D003,H016D004,H016D005,H016D006,H016D007,H016D008,H016D009,H016D010,H016D011,H016D012,H016D013,H016D014,H016D017,H016D015,H016D016
0,id,Geographic Area Name,Total,Total!!Owner occupied,Total!!Owner occupied!!1-person household,Total!!Owner occupied!!2-person household,Total!!Owner occupied!!3-person household,Total!!Owner occupied!!4-person household,Total!!Owner occupied!!5-person household,Total!!Owner occupied!!6-person household,Total!!Owner occupied!!7-or-more-person household,Total!!Renter occupied,Total!!Renter occupied!!1-person household,Total!!Renter occupied!!2-person household,Total!!Renter occupied!!3-person household,Total!!Renter occupied!!4-person household,Total!!Renter occupied!!7-or-more-person household,Total!!Renter occupied!!5-person household,Total!!Renter occupied!!6-person household
167,8710000US3610596,"ZCTA5 10596, New York",6,2,0,0,0,0,0,0,2,4,3,0,0,1,0,0,0
168,8710000US3610597,"ZCTA5 10597, New York",4,4,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0
169,8710000US3610598,"ZCTA5 10598, New York",392,341,13,87,85,98,34,16,8,51,11,10,17,8,0,5,0
170,8710000US3610601,"ZCTA5 10601, New York",525,151,64,48,24,10,5,0,0,374,138,150,54,19,0,8,5
171,8710000US3610603,"ZCTA5 10603, New York",400,241,41,76,49,46,22,4,3,159,48,47,34,18,1,10,1
172,8710000US3610604,"ZCTA5 10604, New York",163,89,5,22,17,23,15,5,2,74,13,25,14,15,1,6,0
173,8710000US3610605,"ZCTA5 10605, New York",307,224,41,62,50,49,10,7,5,83,26,20,13,17,1,5,1
174,8710000US3610606,"ZCTA5 10606, New York",408,135,45,29,29,21,7,3,1,273,99,105,44,17,2,6,0
175,8710000US3610607,"ZCTA5 10607, New York",216,182,14,47,35,48,17,11,10,34,9,11,6,6,0,1,1
176,8710000US3610701,"ZCTA5 10701, New York",793,289,46,73,52,53,34,18,13,504,163,132,77,66,8,36,22
177,8710000US3610703,"ZCTA5 10703, New York",342,215,17,40,51,63,20,20,4,127,21,30,33,20,5,13,5
178,8710000US3610704,"ZCTA5 10704, New York",504,304,31,60,70,73,35,23,12,200,35,71,38,33,2,14,7
179,8710000US3610705,"ZCTA5 10705, New York",654,309,29,64,56,74,36,24,26,345,65,70,75,78,5,39,13
180,8710000US3610706,"ZCTA5 10706, New York",172,120,19,41,26,22,8,3,1,52,10,14,7,15,2,2,2
