,GEO_ID,NAME,H011B001,H011B002,H011B003,H011B004
0,id,Geographic Area Name,Population in occupied housing units,Population in occupied housing units!!Owned with a mortgage or a loan,Population in occupied housing units!!Owned free and clear,Population in occupied housing units!!Renter occupied
1394,8710000US3613844,"ZCTA5 13844, New York",0,0,0,0
1395,8710000US3613845,"ZCTA5 13845, New York",0,0,0,0
1396,8710000US3613846,"ZCTA5 13846, New York",2,2,0,0
1397,8710000US3613847,"ZCTA5 13847, New York",0,0,0,0
1398,8710000US3613849,"ZCTA5 13849, New York",20,13,7,0
1399,8710000US3613850,"ZCTA5 13850, New York",433,199,33,201
1400,8710000US3613856,"ZCTA5 13856, New York",32,20,2,10
1401,8710000US3613859,"ZCTA5 13859, New York",8,6,1,1
1402,8710000US3613860,"ZCTA5 13860, New York",0,0,0,0
1403,8710000US3613861,"ZCTA5 13861, New York",3,0,3,0
1404,8710000US3613862,"ZCTA5 13862, New York",11,2,2,7
1405,8710000US3613863,"ZCTA5 13863, New York",3,0,0,3
1406,8710000US3613864,"ZCTA5 13864, New York",8,4,0,4
1407,8710000US3613865,"ZCTA5 13865, New York",21,12,6,3
1408,8710000US3613901,"ZCTA5 13901, New York",1194,204,42,948
1409,8710000US3613902,"ZCTA5 13902, New York",0,0,0,0
1410,8710000US3613903,"ZCTA5 13903, New York",1363,326,35,1002
1411,8710000US3613904,"ZCTA5 13904, New York",581,152,17,412
1412,8710000US3613905,"ZCTA5 13905, New York",2309,436,50,1823
1413,8710000US3614001,"ZCTA5 14001, New York",39,22,2,15
1414,8710000US3614004,"ZCTA5 14004, New York",19,2,1,16
1415,8710000US3614005,"ZCTA5 14005, New York",0,0,0,0
1416,8710000US3614006,"ZCTA5 14006, New York",56,28,15,13
1417,8710000US3614008,"ZCTA5 14008, New York",12,10,0,2
1418,8710000US3614009,"ZCTA5 14009, New York",5,2,0,3
1419,8710000US3614011,"ZCTA5 14011, New York",11,5,1,5
1420,8710000US3614012,"ZCTA5 14012, New York",3,0,2,1
1421,8710000US3614013,"ZCTA5 14013, New York",2,2,0,0
1422,8710000US3614020,"ZCTA5 14020, New York",812,157,42,613
1423,8710000US3614024,"ZCTA5 14024, New York",15,6,3,6
1424,8710000US3614025,"ZCTA5 14025, New York",2,2,0,0
1425,8710000US3614026,"ZCTA5 14026, New York",0,0,0,0
1426,8710000US3614028,"ZCTA5 14028, New York",1,0,0,1
1427,8710000US3614030,"ZCTA5 14030, New York",7,3,1,3
1428,8710000US3614031,"ZCTA5 14031, New York",54,23,12,19
1429,8710000US3614032,"ZCTA5 14032, New York",98,70,6,22
1430,8710000US3614033,"ZCTA5 14033, New York",6,6,0,0
1431,8710000US3614034,"ZCTA5 14034, New York",0,0,0,0
1432,8710000US3614035,"ZCTA5 14035, New York",0,0,0,0
1433,8710000US3614036,"ZCTA5 14036, New York",29,17,0,12
1434,8710000US3614037,"ZCTA5 14037, New York",4,4,0,0
1435,8710000US3614039,"ZCTA5 14039, New York",0,0,0,0
1436,8710000US3614040,"ZCTA5 14040, New York",0,0,0,0
1437,8710000US3614041,"ZCTA5 14041, New York",8,0,0,8
1438,8710000US3614042,"ZCTA5 14042, New York",0,0,0,0
1439,8710000US3614043,"ZCTA5 14043, New York",333,102,22,209
1440,8710000US3614047,"ZCTA5 14047, New York",43,14,2,27
1441,8710000US3614048,"ZCTA5 14048, New York",772,192,56,524
1442,8710000US3614051,"ZCTA5 14051, New York",437,341,27,69
1443,8710000US3614052,"ZCTA5 14052, New York",27,15,2,10
1444,8710000US3614054,"ZCTA5 14054, New York",4,4,0,0
1445,8710000US3614055,"ZCTA5 14055, New York",2,2,0,0
1446,8710000US3614057,"ZCTA5 14057, New York",23,18,3,2
1447,8710000US3614058,"ZCTA5 14058, New York",46,18,6,22
1448,8710000US3614059,"ZCTA5 14059, New York",16,12,2,2
1449,8710000US3614060,"ZCTA5 14060, New York",1,1,0,0
1450,8710000US3614061,"ZCTA5 14061, New York",6,0,4,2
1451,8710000US3614062,"ZCTA5 14062, New York",8,5,3,0
1452,8710000US3614063,"ZCTA5 14063, New York",122,11,10,101
1453,8710000US3614065,"ZCTA5 14065, New York",2,0,2,0
1454,8710000US3614066,"ZCTA5 14066, New York",1,0,1,0
1455,8710000US3614067,"ZCTA5 14067, New York",28,13,6,9
1456,8710000US3614068,"ZCTA5 14068, New York",225,125,10,90
1457,8710000US3614069,"ZCTA5 14069, New York",1,1,0,0
1458,8710000US3614070,"ZCTA5 14070, New York",21,12,0,9
1459,8710000US3614072,"ZCTA5 14072, New York",412,209,35,168
1460,8710000US3614075,"ZCTA5 14075, New York",226,91,15,120
1461,8710000US3614080,"ZCTA5 14080, New York",22,14,3,5
1462,8710000US3614081,"ZCTA5 14081, New York",10,2,5,3
1463,8710000US3614082,"ZCTA5 14082, New York",0,0,0,0
1464,8710000US3614085,"ZCTA5 14085, New York",25,22,0,3
1465,8710000US3614086,"ZCTA5 14086, New York",263,183,27,53
1466,8710000US3614091,"ZCTA5 14091, New York",2,2,0,0
1467,8710000US3614092,"ZCTA5 14092, New York",69,37,10,22
1468,8710000US3614094,"ZCTA5 14094, New York",2318,813,155,1350
1469,8710000US3614098,"ZCTA5 14098, New York",34,22,3,9
1470,8710000US3614101,"ZCTA5 14101, New York",8,0,0,8
1471,8710000US3614102,"ZCTA5 14102, New York",0,0,0,0
1472,8710000US3614103,"ZCTA5 14103, New York",469,122,57,290
1473,8710000US3614105,"ZCTA5 14105, New York",25,9,3,13
1474,8710000US3614108,"ZCTA5 14108, New York",41,14,5,22
1475,8710000US3614109,"ZCTA5 14109, New York",0,0,0,0
1476,8710000US3614111,"ZCTA5 14111, New York",13,3,1,9
1477,8710000US3614112,"ZCTA5 14112, New York",0,0,0,0
1478,8710000US3614113,"ZCTA5 14113, New York",0,0,0,0
1479,8710000US3614120,"ZCTA5 14120, New York",417,197,20,200
1480,8710000US3614125,"ZCTA5 14125, New York",56,8,6,42
1481,8710000US3614126,"ZCTA5 14126, New York",4,0,1,3
1482,8710000US3614127,"ZCTA5 14127, New York",173,74,11,88
1483,8710000US3614129,"ZCTA5 14129, New York",6,6,0,0
1484,8710000US3614130,"ZCTA5 14130, New York",0,0,0,0
1485,8710000US3614131,"ZCTA5 14131, New York",33,15,1,17
1486,8710000US3614132,"ZCTA5 14132, New York",34,21,3,10
1487,8710000US3614134,"ZCTA5 14134, New York",0,0,0,0
1488,8710000US3614135,"ZCTA5 14135, New York",0,0,0,0
1489,8710000US3614136,"ZCTA5 14136, New York",32,21,1,10
1490,8710000US3614138,"ZCTA5 14138, New York",16,9,3,4
1491,8710000US3614139,"ZCTA5 14139, New York",4,4,0,0
1492,8710000US3614141,"ZCTA5 14141, New York",25,20,0,5
1493,8710000US3614143,"ZCTA5 14143, New York",5,2,0,3
1494,8710000US3614145,"ZCTA5 14145, New York",0,0,0,0
1495,8710000US3614150,"ZCTA5 14150, New York",766,177,41,548
1496,8710000US3614167,"ZCTA5 14167, New York",0,0,0,0
1497,8710000US3614168,"ZCTA5 14168, New York",0,0,0,0
1498,8710000US3614169,"ZCTA5 14169, New York",0,0,0,0
1499,8710000US3614170,"ZCTA5 14170, New York",6,0,1,5
1500,8710000US3614171,"ZCTA5 14171, New York",28,7,18,3
