"GEO_ID","NAME","H011I001","H011I002","H011I003","H011I004"
"id","Geographic Area Name","Population in occupied housing units","Population in occupied housing units!!Owned with a mortgage or a loan","Population in occupied housing units!!Owned free and clear","Population in occupied housing units!!Renter occupied"
"8710000US3610502","ZCTA5 10502, New York","4196","2827","990","379"
"8710000US3610503","ZCTA5 10503, New York","102","40","57","5"
"8710000US3610504","ZCTA5 10504, New York","7216","5374","1452","390"
"8710000US3610505","ZCTA5 10505, New York","692","641","46","5"
"8710000US3610506","ZCTA5 10506, New York","5217","3728","1145","344"
"8710000US3610507","ZCTA5 10507, New York","3638","1986","594","1058"
"8710000US3610509","ZCTA5 10509, New York","15205","11071","2351","1783"
"8710000US3610510","ZCTA5 10510, New York","8038","5686","1586","766"
"8710000US3610511","ZCTA5 10511, New York","1809","1087","340","382"
"8710000US3610512","ZCTA5 10512, New York","21293","15301","3273","2719"
"8710000US3610514","ZCTA5 10514, New York","10393","7958","1938","497"
"8710000US3610516","ZCTA5 10516, New York","4825","2858","976","991"
"8710000US3610517","ZCTA5 10517, New York","408","235","73","100"
"8710000US3610518","ZCTA5 10518, New York","1110","847","182","81"
"8710000US3610519","ZCTA5 10519, New York","257","154","42","61"
"8710000US3610520","ZCTA5 10520, New York","10242","6406","1726","2110"
"8710000US3610522","ZCTA5 10522, New York","7663","4152","1417","2094"
"8710000US3610523","ZCTA5 10523, New York","2323","1235","556","532"
"8710000US3610524","ZCTA5 10524, New York","3653","2480","724","449"
"8710000US3610526","ZCTA5 10526, New York","1583","1116","288","179"
"8710000US3610527","ZCTA5 10527, New York","850","623","176","51"
"8710000US3610528","ZCTA5 10528, New York","9826","4839","2211","2776"
"8710000US3610530","ZCTA5 10530, New York","8880","5364","2349","1167"
"8710000US3610532","ZCTA5 10532, New York","4319","2912","986","421"
"8710000US3610533","ZCTA5 10533, New York","6158","3878","1340","940"
"8710000US3610535","ZCTA5 10535, New York","388","219","20","149"
"8710000US3610536","ZCTA5 10536, New York","9777","7121","1962","694"
"8710000US3610537","ZCTA5 10537, New York","1868","1392","210","266"
"8710000US3610538","ZCTA5 10538, New York","14658","9348","3078","2232"
"8710000US3610541","ZCTA5 10541, New York","23144","17078","3874","2192"
"8710000US3610543","ZCTA5 10543, New York","13212","7311","2694","3207"
"8710000US3610545","ZCTA5 10545, New York","2","2","0","0"
"8710000US3610546","ZCTA5 10546, New York","1068","770","207","91"
"8710000US3610547","ZCTA5 10547, New York","5243","3593","667","983"
"8710000US3610548","ZCTA5 10548, New York","2495","1785","413","297"
"8710000US3610549","ZCTA5 10549, New York","11035","6800","2378","1857"
"8710000US3610550","ZCTA5 10550, New York","3208","581","456","2171"
"8710000US3610552","ZCTA5 10552, New York","8671","3673","1765","3233"
"8710000US3610553","ZCTA5 10553, New York","356","106","116","134"
"8710000US3610560","ZCTA5 10560, New York","4070","2880","849","341"
"8710000US3610562","ZCTA5 10562, New York","14062","9003","2821","2238"
