,MODZCTA,Positive,Total,zcta_cum.perc_pos,Zip,City,State,Latitude,Longitude,geopoint,0,id,Geographic Area Name,Total_HOUSEHOLD SIZE,1-person household,2-person household,3-person household,4-person household,5-person household,6-person household,7-or-more-person household
25,10030.0,289,467,61.88,10030,New York,NY,40.818151,-73.94351,"40.818151,-73.94351",353,8710000US3610030,"ZCTA5 10030, New York",11395,41.64,24.74,14.36,9.94,4.91,2.23,2.18
26,10031.0,660,1017,64.9,10031,New York,NY,40.826201,-73.94879,"40.826201,-73.94879",626,8710000US3610031,"ZCTA5 10031, New York",20638,31.14,25.37,16.69,11.62,7.04,3.89,4.26
27,10032.0,775,1262,61.41,10032,New York,NY,40.840686,-73.94154,"40.840686,-73.94154",1,8710000US3610032,"ZCTA5 10032, New York",20228,28.67,25.45,17.33,12.65,7.48,4.04,4.38
28,10033.0,671,1080,62.13,10033,New York,NY,40.848764,-73.93496,"40.848764,-73.93496",869,8710000US3610033,"ZCTA5 10033, New York",18975,26.96,27.17,17.4,12.98,7.52,3.77,4.21
29,10034.0,367,646,56.81,10034,New York,NY,40.867653000000004,-73.92,"40.867653,-73.92",1304,8710000US3610034,"ZCTA5 10034, New York",15007,30.88,28.13,17.0,11.75,6.38,3.15,2.71
30,10035.0,475,852,55.75,10035,New York,NY,40.802395000000004,-73.93359,"40.802395,-73.93359",1072,8710000US3610035,"ZCTA5 10035, New York",12775,38.72,25.01,14.52,9.62,6.12,2.99,3.01
31,10036.0,241,523,46.08,10036,New York,NY,40.759510999999996,-73.99019,"40.759511,-73.99019",1529,8710000US3610036,"ZCTA5 10036, New York",15183,58.74,29.55,7.56,2.93,0.8,0.2,0.22
32,10037.0,246,427,57.61,10037,New York,NY,40.813385,-73.93616,"40.813385,-73.93616",1043,8710000US3610037,"ZCTA5 10037, New York",8885,50.39,26.78,11.84,6.53,2.75,1.18,0.54
33,10038.0,159,314,50.64,10038,New York,NY,40.709677,-74.00365,"40.709677,-74.00365",555,8710000US3610038,"ZCTA5 10038, New York",9410,40.14,37.66,12.24,6.48,2.0,0.69,0.79
34,10039.0,277,504,54.96,10039,New York,NY,40.826181,-73.9371,"40.826181,-73.9371",643,8710000US3610039,"ZCTA5 10039, New York",10070,34.57,28.57,16.67,10.28,5.19,2.56,2.15
35,10040.0,532,829,64.17,10040,New York,NY,40.858703999999996,-73.92853000000001,"40.858704,-73.92853",1436,8710000US3610040,"ZCTA5 10040, New York",15718,31.09,26.81,16.67,12.73,6.64,3.16,2.9
36,10044.0,95,207,45.89,10044,New York,NY,40.762174,-73.94917,"40.762174,-73.94917",1792,8710000US3610044,"ZCTA5 10044, New York",4501,37.86,31.53,15.04,10.31,3.31,1.22,0.73
37,10069.0,37,96,38.54,10069,New York,NY,40.775477,-73.9905,"40.775477,-73.9905",782,8710000US3610069,"ZCTA5 10069, New York",2696,43.36,34.05,11.5,8.9,1.89,0.26,0.04
38,10128.0,424,1075,39.44,10128,New York,NY,40.781894,-73.95039,"40.781894,-73.95039",1350,8710000US3610128,"ZCTA5 10128, New York",32306,47.77,31.94,10.88,6.77,2.1,0.43,0.11
