,MODZCTA,Positive,Total,zcta_cum.perc_pos,Zip,City,State,Latitude,Longitude,geopoint,0,id,Geographic Area Name,Total_SEX BY AGE,Male,Male!!Under 5 years,Male!!5 to 9 years,Male!!10 to 14 years,Male!!15 to 17 years,Male!!18 and 19 years,Male!!20 years,Male!!21 years,Male!!22 to 24 years,Male!!25 to 29 years,Male!!30 to 34 years,Male!!35 to 39 years,Male!!40 to 44 years,Male!!45 to 49 years,Male!!50 to 54 years,Male!!55 to 59 years,Male!!60 and 61 years,Male!!62 to 64 years,Male!!65 and 66 years,Male!!67 to 69 years,Male!!70 to 74 years,Male!!75 to 79 years,Male!!80 to 84 years,Male!!85 years and over,Female,Female!!Under 5 years,Female!!5 to 9 years,Female!!10 to 14 years,Female!!15 to 17 years,Female!!18 and 19 years,Female!!20 years,Female!!21 years,Female!!22 to 24 years,Female!!25 to 29 years,Female!!30 to 34 years,Female!!35 to 39 years,Female!!40 to 44 years,Female!!45 to 49 years,Female!!50 to 54 years,Female!!55 to 59 years,Female!!60 and 61 years,Female!!62 to 64 years,Female!!65 and 66 years,Female!!67 to 69 years,Female!!70 to 74 years,Female!!75 to 79 years,Female!!80 to 84 years,Female!!85 years and over
46,10306.0,941,2098,44.85,10306,Staten Island,NY,40.569394,-74.11785,"40.569394,-74.11785",485,8710000US3610306,"ZCTA5 10306, New York",55909,26688,1545,1683,1768,1142,700,350,354,1079,1612,1529,1752,1949,2181,2150,1854,661,954,459,611,810,689,490,366,29221,1440,1517,1646,1079,655,338,344,986,1589,1698,1772,2222,2376,2433,1959,804,1045,635,746,1108,1041,843,945
47,10307.0,255,541,47.13,10307,Staten Island,NY,40.508274,-74.24387,"40.508274,-74.24387",1742,8710000US3610307,"ZCTA5 10307, New York",14096,6981,423,518,555,323,197,99,81,289,404,406,520,611,629,553,451,150,170,92,151,127,109,73,50,7115,376,532,555,351,150,84,75,249,396,403,530,656,635,550,441,164,201,123,137,147,144,124,92
48,10308.0,450,1055,42.65,10308,Staten Island,NY,40.551353000000006,-74.15098,"40.551353,-74.15098",71,8710000US3610308,"ZCTA5 10308, New York",27357,13288,765,819,920,590,374,182,165,470,799,781,880,989,1012,1068,907,363,469,216,381,429,335,223,151,14069,695,771,837,538,321,142,157,451,752,820,894,1026,1193,1180,994,422,537,350,428,539,453,304,265
49,10309.0,594,1345,44.16,10309,Staten Island,NY,40.529749,-74.21304,"40.529749,-74.21304",1128,8710000US3610309,"ZCTA5 10309, New York",32519,16352,985,1189,1077,693,393,204,218,705,1123,1113,1262,1373,1399,1321,991,357,472,241,347,369,265,155,100,16167,965,1099,1050,653,401,183,211,590,920,1035,1212,1392,1297,1273,1069,363,525,282,360,437,357,256,237
50,10310.0,413,876,47.15,10310,Staten Island,NY,40.63212,-74.11551,"40.63212,-74.11551",1787,8710000US3610310,"ZCTA5 10310, New York",24962,12058,958,1045,1002,627,384,174,189,529,781,824,757,807,873,898,709,237,331,146,183,232,150,131,91,12904,919,965,888,648,342,181,188,484,797,902,872,913,992,948,774,282,356,158,265,315,241,254,220
51,10312.0,1065,2225,47.87,10312,Staten Island,NY,40.543116999999995,-74.17628,"40.543117,-74.17628",937,8710000US3610312,"ZCTA5 10312, New York",59304,28776,1712,1861,1931,1276,775,362,380,1100,1765,1739,1984,2131,2214,2129,2025,765,1141,609,834,878,554,369,242,30528,1582,1769,1866,1201,690,356,348,1129,1735,1790,2108,2273,2376,2438,2319,914,1339,661,843,924,740,586,541
52,10314.0,1679,3460,48.53,10314,Staten Island,NY,40.606336999999996,-74.14513000000001,"40.606337,-74.14513",565,8710000US3610314,"ZCTA5 10314, New York",85510,41139,2502,2523,2688,1765,1107,517,576,1629,2700,2729,2711,2775,3003,3091,2890,1125,1564,796,1090,1229,937,606,586,44371,2362,2415,2429,1650,1003,496,472,1660,2645,2783,2885,2997,3230,3459,3366,1296,1798,971,1172,1586,1205,1171,1320
53,10451.0,855,1411,60.6,10451,Bronx,NY,40.819728999999995,-73.9223,"40.819729,-73.9223",1678,8710000US3610451,"ZCTA5 10451, New York",45713,20567,1822,1637,1651,1193,874,375,410,1045,1566,1347,1170,1348,1323,1120,956,342,470,251,394,555,340,217,161,25146,1649,1618,1658,1216,801,399,424,1115,1782,1684,1673,1614,1728,1613,1361,545,731,462,621,873,667,499,413
54,10452.0,1156,1770,65.31,10452,Bronx,NY,40.838745,-73.92234,"40.838745,-73.92234",1295,8710000US3610452,"ZCTA5 10452, New York",75371,35560,3291,3040,3043,2006,1372,660,621,1769,2665,2534,2464,2544,2450,2133,1677,576,721,374,464,566,313,164,113,39811,3218,3039,2964,1926,1336,683,630,1969,3197,3014,2729,2966,2906,2439,1921,728,903,521,667,833,598,334,290
55,10453.0,1234,1972,62.58,10453,Bronx,NY,40.853017,-73.91214000000001,"40.853017,-73.91214",1335,8710000US3610453,"ZCTA5 10453, New York",78309,36524,3379,3166,3191,2162,1544,771,670,1946,2749,2418,2279,2474,2562,2253,1773,609,700,381,441,510,276,177,93,41785,3234,3124,3080,2128,1534,777,706,2035,3274,3040,2786,3004,3144,2851,2216,760,914,496,639,847,553,355,288
