,MODZCTA,Positive,Total,zcta_cum.perc_pos,Zip,City,State,Latitude,Longitude,geopoint,0,id,Geographic Area Name,Total_TOTAL POPULATION
109,11225.0,1016,2257,45.02,11225,Brooklyn,NY,40.662892,-73.95509,"40.662892,-73.95509",249,8710000US3611225,"ZCTA5 11225, New York",56829
110,11226.0,1894,3987,47.5,11226,Brooklyn,NY,40.645255999999996,-73.95553000000001,"40.645256,-73.95553",1777,8710000US3611226,"ZCTA5 11226, New York",101572
111,11228.0,571,1390,41.08,11228,Brooklyn,NY,40.617563,-74.01168,"40.617563,-74.01168",1646,8710000US3611228,"ZCTA5 11228, New York",41788
112,11229.0,1341,3204,41.85,11229,Brooklyn,NY,40.599256,-73.94118,"40.599256,-73.94118",1113,8710000US3611229,"ZCTA5 11229, New York",80018
113,11230.0,1980,4379,45.22,11230,Brooklyn,NY,40.622994,-73.96427,"40.622994,-73.96427",1125,8710000US3611230,"ZCTA5 11230, New York",86408
114,11231.0,364,931,39.1,11231,Brooklyn,NY,40.6788,-74.00254,"40.6788,-74.00254",492,8710000US3611231,"ZCTA5 11231, New York",33336
115,11232.0,429,818,52.44,11232,Brooklyn,NY,40.655481,-74.00424,"40.655481,-74.00424",725,8710000US3611232,"ZCTA5 11232, New York",28265
116,11233.0,1102,2420,45.54,11233,Brooklyn,NY,40.676938,-73.91858,"40.676938,-73.91858",1715,8710000US3611233,"ZCTA5 11233, New York",67053
117,11234.0,2020,4387,46.05,11234,Brooklyn,NY,40.618561,-73.9216,"40.618561,-73.9216",325,8710000US3611234,"ZCTA5 11234, New York",87757
118,11235.0,1743,3800,45.87,11235,Brooklyn,NY,40.583803,-73.95019,"40.583803,-73.95019",883,8710000US3611235,"ZCTA5 11235, New York",79132
119,11236.0,2337,4731,49.4,11236,Brooklyn,NY,40.640527,-73.90361999999999,"40.640527,-73.90362",689,8710000US3611236,"ZCTA5 11236, New York",93877
120,11237.0,805,1595,50.47,11237,Brooklyn,NY,40.703355,-73.91993000000001,"40.703355,-73.91993",641,8710000US3611237,"ZCTA5 11237, New York",49896
121,11238.0,657,1582,41.53,11238,Brooklyn,NY,40.680145,-73.96257,"40.680145,-73.96257",877,8710000US3611238,"ZCTA5 11238, New York",49262
122,11239.0,439,969,45.3,11239,Brooklyn,NY,40.645848,-73.87919000000001,"40.645848,-73.87919",1718,8710000US3611239,"ZCTA5 11239, New York",13393
123,11354.0,951,1973,48.2,11354,Flushing,NY,40.767969,-73.82496,"40.767969,-73.82496",454,8710000US3611354,"ZCTA5 11354, New York",54878
124,11355.0,1084,2227,48.68,11355,Flushing,NY,40.749463,-73.81940999999999,"40.749463,-73.81941",1772,8710000US3611355,"ZCTA5 11355, New York",85871
125,11356.0,482,1070,45.05,11356,College Point,NY,40.785462,-73.84366,"40.785462,-73.84366",1037,8710000US3611356,"ZCTA5 11356, New York",23438
126,11357.0,710,1666,42.62,11357,Whitestone,NY,40.784453000000006,-73.80922,"40.784453,-73.80922",967,8710000US3611357,"ZCTA5 11357, New York",39150
127,11358.0,500,1250,40.0,11358,Flushing,NY,40.760521999999995,-73.79612,"40.760522,-73.79612",275,8710000US3611358,"ZCTA5 11358, New York",37546
128,11360.0,288,796,36.18,11360,Bayside,NY,40.780386,-73.78005,"40.780386,-73.78005",930,8710000US3611360,"ZCTA5 11360, New York",18884
129,11361.0,394,983,40.08,11361,Bayside,NY,40.763177,-73.77391999999999,"40.763177,-73.77392",1258,8710000US3611361,"ZCTA5 11361, New York",28606
130,11362.0,275,706,38.95,11362,Little Neck,NY,40.759686,-73.73321999999999,"40.759686,-73.73322",791,8710000US3611362,"ZCTA5 11362, New York",17823
131,11363.0,90,250,36.0,11363,Little Neck,NY,40.772636,-73.74644,"40.772636,-73.74644",898,8710000US3611363,"ZCTA5 11363, New York",6988
132,11364.0,422,1127,37.44,11364,Oakland Gardens,NY,40.746718,-73.75994,"40.746718,-73.75994",1780,8710000US3611364,"ZCTA5 11364, New York",34555
133,11365.0,741,1729,42.86,11365,Fresh Meadows,NY,40.738983000000005,-73.79209,"40.738983,-73.79209",26,8710000US3611365,"ZCTA5 11365, New York",42252
134,11366.0,354,793,44.64,11366,Fresh Meadows,NY,40.726137,-73.79502,"40.726137,-73.79502",321,8710000US3611366,"ZCTA5 11366, New York",13532
