,MODZCTA,Positive,Total,zcta_cum.perc_pos,Zip,City,State,Latitude,Longitude,geopoint,Median household income (dollars),Median family income (dollars),Median nonfamily income (dollars),Median earnings for workers (dollars),"Median earnings for male full-time, year-round workers (dollars)","Median earnings for female full-time, year-round workers (dollars)"
102,11218.0,1476,3185,46.34,11218,Brooklyn,NY,40.644552000000004,-73.97595,"40.644552,-73.97595",60821,65324,50844,32240,46260,52656
103,11219.0,2443,5615,43.51,11219,Brooklyn,NY,40.632449,-73.99629,"40.632449,-73.99629",36573,36747,22764,20684,32025,30700
104,11220.0,1287,2691,47.83,11220,Brooklyn,NY,40.641436,-74.01574000000001,"40.641436,-74.01574",40576,37340,31535,19935,27134,32204
105,11221.0,1080,2465,43.81,11221,Brooklyn,NY,40.691234,-73.92636999999999,"40.691234,-73.92637",43361,47440,33841,30944,39455,39728
106,11222.0,384,1006,38.17,11222,Brooklyn,NY,40.726302000000004,-73.94559,"40.726302,-73.94559",73391,82296,65875,50084,62718,58409
107,11223.0,1459,3349,43.57,11223,Brooklyn,NY,40.598141999999996,-73.97229,"40.598142,-73.97229",44647,54547,21670,29834,44259,40442
108,11224.0,960,2132,45.03,11224,Brooklyn,NY,40.576589,-73.99172,"40.576589,-73.99172",31371,44424,14651,30472,43421,40609
109,11225.0,1016,2257,45.02,11225,Brooklyn,NY,40.662892,-73.95509,"40.662892,-73.95509",48597,55282,37857,32960,40900,43769
110,11226.0,1894,3987,47.5,11226,Brooklyn,NY,40.645255999999996,-73.95553000000001,"40.645256,-73.95553",45031,51239,33453,30998,40295,36262
111,11228.0,571,1390,41.08,11228,Brooklyn,NY,40.617563,-74.01168,"40.617563,-74.01168",63641,75500,36401,36012,55089,52273
112,11229.0,1341,3204,41.85,11229,Brooklyn,NY,40.599256,-73.94118,"40.599256,-73.94118",55187,67009,30566,36408,54144,46785
113,11230.0,1980,4379,45.22,11230,Brooklyn,NY,40.622994,-73.96427,"40.622994,-73.96427",43344,55637,21850,28375,49823,41281
114,11231.0,364,931,39.1,11231,Brooklyn,NY,40.6788,-74.00254,"40.6788,-74.00254",84223,104905,65479,60791,87301,67649
115,11232.0,429,818,52.44,11232,Brooklyn,NY,40.655481,-74.00424,"40.655481,-74.00424",47785,45929,46250,24441,34275,40192
116,11233.0,1102,2420,45.54,11233,Brooklyn,NY,40.676938,-73.91858,"40.676938,-73.91858",35686,41063,26199,31772,41378,40005
117,11234.0,2020,4387,46.05,11234,Brooklyn,NY,40.618561,-73.9216,"40.618561,-73.9216",75362,85973,40673,40689,54520,52351
118,11235.0,1743,3800,45.87,11235,Brooklyn,NY,40.583803,-73.95019,"40.583803,-73.95019",45578,64291,23536,36727,53074,48158
119,11236.0,2337,4731,49.4,11236,Brooklyn,NY,40.640527,-73.90361999999999,"40.640527,-73.90362",60885,70274,32092,36296,45845,43621
120,11237.0,805,1595,50.47,11237,Brooklyn,NY,40.703355,-73.91993000000001,"40.703355,-73.91993",46351,37930,54618,26861,33319,36421
121,11238.0,657,1582,41.53,11238,Brooklyn,NY,40.680145,-73.96257,"40.680145,-73.96257",75757,84644,63973,50241,62525,56604
122,11239.0,439,969,45.3,11239,Brooklyn,NY,40.645848,-73.87919000000001,"40.645848,-73.87919",24610,33886,15728,29000,35521,44308
123,11354.0,951,1973,48.2,11354,Flushing,NY,40.767969,-73.82496,"40.767969,-73.82496",43660,47824,30105,28501,40202,36378
124,11355.0,1084,2227,48.68,11355,Flushing,NY,40.749463,-73.81940999999999,"40.749463,-73.81941",38451,40724,26217,24144,32339,32394
125,11356.0,482,1070,45.05,11356,College Point,NY,40.785462,-73.84366,"40.785462,-73.84366",57849,61748,40602,31201,41272,43783
126,11357.0,710,1666,42.62,11357,Whitestone,NY,40.784453000000006,-73.80922,"40.784453,-73.80922",74255,86084,47003,46841,65585,54207
127,11358.0,500,1250,40.0,11358,Flushing,NY,40.760521999999995,-73.79612,"40.760522,-73.79612",66173,75281,47688,37313,50762,47480
128,11360.0,288,796,36.18,11360,Bayside,NY,40.780386,-73.78005,"40.780386,-73.78005",82982,101483,52539,52231,73938,63603
129,11361.0,394,983,40.08,11361,Bayside,NY,40.763177,-73.77391999999999,"40.763177,-73.77392",81846,89348,60497,43538,62194,53180
130,11362.0,275,706,38.95,11362,Little Neck,NY,40.759686,-73.73321999999999,"40.759686,-73.73322",82827,95000,48849,51478,64631,66712
131,11363.0,90,250,36.0,11363,Little Neck,NY,40.772636,-73.74644,"40.772636,-73.74644",90443,103897,54489,50711,72136,60341
132,11364.0,422,1127,37.44,11364,Oakland Gardens,NY,40.746718,-73.75994,"40.746718,-73.75994",70408,85350,47518,46132,58531,60077
133,11365.0,741,1729,42.86,11365,Fresh Meadows,NY,40.738983000000005,-73.79209,"40.738983,-73.79209",62509,72384,36069,35673,53834,47383
134,11366.0,354,793,44.64,11366,Fresh Meadows,NY,40.726137,-73.79502,"40.726137,-73.79502",78223,91788,35313,41272,56584,60508
135,11367.0,903,2129,42.41,11367,Flushing,NY,40.728614,-73.82145,"40.728614,-73.82145",57310,69178,32500,35503,50003,49409
136,11368.0,3774,6304,59.87,11368,Corona,NY,40.747106,-73.85838000000001,"40.747106,-73.85838",45980,45651,28117,21986,27013,30068
137,11369.0,1376,2486,55.35,11369,East Elmhurst,NY,40.762854,-73.87051,"40.762854,-73.87051",51864,59144,35913,24973,33063,34639
138,11370.0,1225,2409,50.85,11370,East Elmhurst,NY,40.763015,-73.89052,"40.763015,-73.89052",53293,57388,39713,30922,40695,43199
139,11372.0,2179,3912,55.7,11372,Jackson Heights,NY,40.750146,-73.88433,"40.750146,-73.88433",52792,53013,45838,30180,37620,38019
140,11373.0,2836,5328,53.23,11373,Elmhurst,NY,40.736076000000004,-73.87804,"40.736076,-73.87804",45677,49816,31667,25653,35254,35193
141,11374.0,945,2241,42.17,11374,Rego Park,NY,40.724945,-73.8609,"40.724945,-73.8609",55550,76464,40042,42224,54012,57641
142,11375.0,1379,3265,42.24,11375,Forest Hills,NY,40.720535,-73.84581999999999,"40.720535,-73.84582",72982,102845,51972,58015,73580,65735
143,11377.0,1867,3959,47.16,11377,Woodside,NY,40.742869,-73.90377,"40.742869,-73.90377",51675,53060,40816,30648,36584,37845
144,11378.0,651,1512,43.06,11378,Maspeth,NY,40.724096,-73.90271,"40.724096,-73.90271",61631,75313,32865,37587,50449,46053
145,11379.0,709,1679,42.23,11379,Middle Village,NY,40.716028,-73.87925,"40.716028,-73.87925",75320,90423,43627,45551,56376,52201
146,11385.0,1849,4004,46.18,11385,Ridgewood,NY,40.703069,-73.89285,"40.703069,-73.89285",60526,65130,38708,35705,44410,38760
147,11411.0,612,1215,50.37,11411,Cambria Heights,NY,40.693538000000004,-73.73574,"40.693538,-73.73574",81678,90759,38162,39250,47111,50957
148,11412.0,1134,2249,50.42,11412,Saint Albans,NY,40.697188,-73.75948000000001,"40.697188,-73.75948",71995,78216,34878,35475,47056,41892
149,11413.0,1168,2402,48.63,11413,Springfield Gardens,NY,40.670138,-73.75140999999999,"40.670138,-73.75141",80758,84460,43771,36989,50658,47092
150,11414.0,732,1521,48.13,11414,Howard Beach,NY,40.658188,-73.84321,"40.658188,-73.84321",70490,83387,37674,45809,63445,51866
151,11415.0,460,1029,44.7,11415,Kew Gardens,NY,40.706903000000004,-73.82973,"40.706903,-73.82973",64055,73974,52094,45780,60135,56269
152,11416.0,608,1185,51.31,11416,Ozone Park,NY,40.683301,-73.8503,"40.683301,-73.8503",59092,61986,26881,29434,40661,37353
153,11417.0,779,1602,48.63,11417,Ozone Park,NY,40.675534000000006,-73.84476,"40.675534,-73.84476",66978,72456,40469,31954,48698,44752
154,11418.0,932,2010,46.37,11418,Richmond Hill,NY,40.698485,-73.83365,"40.698485,-73.83365",63079,62025,54315,30366,42012,37319
155,11419.0,1014,2070,48.99,11419,South Richmond Hill,NY,40.688688,-73.82216,"40.688688,-73.82216",62014,63814,38951,26663,39189,35569
156,11420.0,1196,2500,47.84,11420,South Ozone Park,NY,40.673138,-73.81443,"40.673138,-73.81443",61484,64492,29273,28492,42586,38407
157,11421.0,1037,2123,48.85,11421,Woodhaven,NY,40.690870000000004,-73.85828000000001,"40.69087,-73.85828",64544,69206,38984,30280,40462,37943
158,11422.0,869,1849,47.0,11422,Rosedale,NY,40.662538,-73.73514,"40.662538,-73.73514",85436,91975,45020,38578,51346,46303
159,11423.0,894,1781,50.2,11423,Hollis,NY,40.714261,-73.76824,"40.714261,-73.76824",66070,75346,37863,31337,45513,40738
160,11426.0,455,987,46.1,11426,Bellerose,NY,40.732239,-73.72108,"40.732239,-73.72108",77487,90506,51970,39761,56066,53569
161,11427.0,690,1415,48.76,11427,Queens Village,NY,40.728235,-73.74781999999999,"40.728235,-73.74782",65494,86733,35513,37979,52327,48722
162,11428.0,606,1145,52.93,11428,Queens Village,NY,40.719981,-73.74127,"40.719981,-73.74127",68675,72025,32346,32725,40927,39595
163,11429.0,838,1558,53.79,11429,Queens Village,NY,40.708833,-73.73903,"40.708833,-73.73903",77037,79815,34904,32486,46890,42847
164,11432.0,1533,3034,50.53,11432,Jamaica,NY,40.714144,-73.79324,"40.714144,-73.79324",52277,57037,34441,26297,38984,41185
165,11433.0,826,1729,47.77,11433,Jamaica,NY,40.696538000000004,-73.78734,"40.696538,-73.78734",45820,52208,20407,28398,38254,36343
166,11434.0,1739,3573,48.67,11434,Jamaica,NY,40.674888,-73.7727,"40.674888,-73.7727",57454,69494,35107,32214,43566,41763
167,11435.0,1404,2984,47.05,11435,Jamaica,NY,40.700068,-73.80986,"40.700068,-73.80986",55268,57418,46100,30875,41362,43264
168,11436.0,464,1000,46.4,11436,Jamaica,NY,40.674146,-73.79687,"40.674146,-73.79687",66837,70161,42843,31583,41725,40169
169,11691.0,1950,3715,52.49,11691,Far Rockaway,NY,40.60002,-73.75962,"40.60002,-73.75962",41190,50513,17453,29524,42958,38375
170,11692.0,523,1068,48.97,11692,Arverne,NY,40.592939,-73.79568,"40.592939,-73.79568",42333,46272,28875,33597,42469,40802
171,11693.0,295,635,46.46,11693,Far Rockaway,NY,40.596959000000005,-73.81978000000001,"40.596959,-73.81978",53829,59016,39777,41718,59740,60000
172,11694.0,623,1351,46.11,11694,Rockaway Park,NY,40.57649,-73.84721,"40.57649,-73.84721",79145,97412,48304,50198,71010,62139
173,11697.0,85,207,41.06,11697,Breezy Point,NY,40.560167,-73.90890999999999,"40.560167,-73.90891",100909,124271,53142,67656,101806,74531
