,MODZCTA,Positive,Total,zcta_cum.perc_pos,Zip,City,State,Latitude,Longitude,geopoint,With health insurance coverage,With private health insurance,With public coverage,No health insurance coverage
147,11411.0,612,1215,50.37,11411,Cambria Heights,NY,40.693538000000004,-73.73574,"40.693538,-73.73574",91.5,71.0,34.0,8.5
148,11412.0,1134,2249,50.42,11412,Saint Albans,NY,40.697188,-73.75948000000001,"40.697188,-73.75948",90.0,64.7,33.0,10.0
149,11413.0,1168,2402,48.63,11413,Springfield Gardens,NY,40.670138,-73.75140999999999,"40.670138,-73.75141",91.9,68.9,33.8,8.1
150,11414.0,732,1521,48.13,11414,Howard Beach,NY,40.658188,-73.84321,"40.658188,-73.84321",93.5,71.2,36.6,6.5
151,11415.0,460,1029,44.7,11415,Kew Gardens,NY,40.706903000000004,-73.82973,"40.706903,-73.82973",92.0,67.2,31.0,8.0
152,11416.0,608,1185,51.31,11416,Ozone Park,NY,40.683301,-73.8503,"40.683301,-73.8503",87.3,46.4,45.4,12.7
153,11417.0,779,1602,48.63,11417,Ozone Park,NY,40.675534000000006,-73.84476,"40.675534,-73.84476",89.0,56.7,39.4,11.0
154,11418.0,932,2010,46.37,11418,Richmond Hill,NY,40.698485,-73.83365,"40.698485,-73.83365",83.9,47.4,41.0,16.1
155,11419.0,1014,2070,48.99,11419,South Richmond Hill,NY,40.688688,-73.82216,"40.688688,-73.82216",84.4,42.1,47.0,15.6
156,11420.0,1196,2500,47.84,11420,South Ozone Park,NY,40.673138,-73.81443,"40.673138,-73.81443",88.5,53.3,42.1,11.5
157,11421.0,1037,2123,48.85,11421,Woodhaven,NY,40.690870000000004,-73.85828000000001,"40.69087,-73.85828",86.2,52.4,38.9,13.8
158,11422.0,869,1849,47.0,11422,Rosedale,NY,40.662538,-73.73514,"40.662538,-73.73514",92.3,70.7,28.7,7.7
159,11423.0,894,1781,50.2,11423,Hollis,NY,40.714261,-73.76824,"40.714261,-73.76824",89.5,57.5,39.2,10.5
160,11426.0,455,987,46.1,11426,Bellerose,NY,40.732239,-73.72108,"40.732239,-73.72108",90.7,72.0,30.3,9.3
161,11427.0,690,1415,48.76,11427,Queens Village,NY,40.728235,-73.74781999999999,"40.728235,-73.74782",90.6,66.8,31.7,9.4
162,11428.0,606,1145,52.93,11428,Queens Village,NY,40.719981,-73.74127,"40.719981,-73.74127",89.2,64.0,31.6,10.8
163,11429.0,838,1558,53.79,11429,Queens Village,NY,40.708833,-73.73903,"40.708833,-73.73903",90.2,60.1,36.8,9.8
164,11432.0,1533,3034,50.53,11432,Jamaica,NY,40.714144,-73.79324,"40.714144,-73.79324",87.2,48.2,45.9,12.8
165,11433.0,826,1729,47.77,11433,Jamaica,NY,40.696538000000004,-73.78734,"40.696538,-73.78734",84.5,44.4,45.5,15.5
166,11434.0,1739,3573,48.67,11434,Jamaica,NY,40.674888,-73.7727,"40.674888,-73.7727",90.9,63.2,37.0,9.1
167,11435.0,1404,2984,47.05,11435,Jamaica,NY,40.700068,-73.80986,"40.700068,-73.80986",83.6,44.2,44.3,16.4
168,11436.0,464,1000,46.4,11436,Jamaica,NY,40.674146,-73.79687,"40.674146,-73.79687",90.0,56.2,41.1,10.0
169,11691.0,1950,3715,52.49,11691,Far Rockaway,NY,40.60002,-73.75962,"40.60002,-73.75962",90.2,47.6,49.6,9.8
170,11692.0,523,1068,48.97,11692,Arverne,NY,40.592939,-73.79568,"40.592939,-73.79568",91.9,52.0,46.5,8.1
171,11693.0,295,635,46.46,11693,Far Rockaway,NY,40.596959000000005,-73.81978000000001,"40.596959,-73.81978",92.0,58.1,42.1,8.0
172,11694.0,623,1351,46.11,11694,Rockaway Park,NY,40.57649,-73.84721,"40.57649,-73.84721",93.4,71.9,35.8,6.6
173,11697.0,85,207,41.06,11697,Breezy Point,NY,40.560167,-73.90890999999999,"40.560167,-73.90891",98.2,92.5,26.9,1.8
